"","Breast","CNS","Colon","Leukemia","Melanoma","Non-Small Cell Lung","Ovarian","Renal","no_Breast","no_CNS","no_Colon","no_Leukemia","no_Melanoma","no_Non-Small Cell Lung","no_Ovarian","no_Renal"
"KLRG2",0.666666666666667,1,0.857142857142857,0.833333333333333,1,0.777777777777778,0.714285714285714,1,0.87037037037037,0.833333333333333,0.849056603773585,0.851851851851852,0.823529411764706,0.862745098039216,0.867924528301887,0.826923076923077
"RAB19",0.166666666666667,1,0.142857142857143,0.666666666666667,0.222222222222222,0.444444444444444,0.428571428571429,0.125,0.407407407407407,0.314814814814815,0.415094339622642,0.351851851851852,0.411764705882353,0.372549019607843,0.377358490566038,0.423076923076923
"LCHN",0.5,0.833333333333333,0.857142857142857,0.666666666666667,0.888888888888889,0.777777777777778,0.857142857142857,0.875,0.814814814814815,0.777777777777778,0.773584905660377,0.796296296296296,0.764705882352941,0.784313725490196,0.773584905660377,0.769230769230769
"MBLAC1",0.333333333333333,0.333333333333333,0.857142857142857,0.166666666666667,0.444444444444444,0.333333333333333,0.428571428571429,0.5,0.444444444444444,0.444444444444444,0.377358490566038,0.462962962962963,0.431372549019608,0.450980392156863,0.433962264150943,0.423076923076923
"VPS37C",0,0,0.142857142857143,0.166666666666667,0.444444444444444,0,0.142857142857143,0.125,0.148148148148148,0.148148148148148,0.132075471698113,0.12962962962963,0.0784313725490196,0.156862745098039,0.132075471698113,0.134615384615385
"CCDC151",0.333333333333333,0.833333333333333,0.714285714285714,0.5,0.111111111111111,0.555555555555556,0.571428571428571,0.375,0.518518518518518,0.462962962962963,0.471698113207547,0.5,0.568627450980392,0.490196078431373,0.490566037735849,0.519230769230769
"KRBA1",1,1,1,0.833333333333333,1,1,1,1,0.981481481481482,0.981481481481482,0.981132075471698,1,0.980392156862745,0.980392156862745,0.981132075471698,0.980769230769231
"ANKRD34B",1,1,1,1,0.777777777777778,1,0.857142857142857,1,0.944444444444444,0.944444444444444,0.943396226415094,0.944444444444444,0.980392156862745,0.941176470588235,0.962264150943396,0.942307692307692
"TMEM189",1,0.5,0.714285714285714,0.833333333333333,0.666666666666667,0.888888888888889,0.857142857142857,0.875,0.777777777777778,0.833333333333333,0.811320754716981,0.796296296296296,0.823529411764706,0.784313725490196,0.792452830188679,0.788461538461538
"TRAPPC13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNOT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGEF35",0.5,1,0,1,0.777777777777778,0.777777777777778,0.428571428571429,0.25,0.592592592592593,0.537037037037037,0.660377358490566,0.537037037037037,0.549019607843137,0.549019607843137,0.60377358490566,0.634615384615385
"CCDC88B",0.333333333333333,0.833333333333333,0.714285714285714,0.333333333333333,0.222222222222222,0.888888888888889,0.714285714285714,0.5,0.611111111111111,0.555555555555556,0.566037735849057,0.611111111111111,0.647058823529412,0.529411764705882,0.566037735849057,0.596153846153846
"MAP1LC3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM83G",0,0.333333333333333,0,0.166666666666667,0.444444444444444,0,0,0.5,0.203703703703704,0.166666666666667,0.207547169811321,0.185185185185185,0.137254901960784,0.215686274509804,0.207547169811321,0.134615384615385
"RBMY1B",1,0.833333333333333,1,0.833333333333333,0.888888888888889,0.777777777777778,1,1,0.907407407407407,0.925925925925926,0.905660377358491,0.925925925925926,0.92156862745098,0.941176470588235,0.905660377358491,0.903846153846154
"PGP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C5orf51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCCD1",0,0.333333333333333,0,0,0,0,0,0,0.037037037037037,0,0.0377358490566038,0.037037037037037,0.0392156862745098,0.0392156862745098,0.0377358490566038,0.0384615384615385
"ZNF316",0,0,0,0.333333333333333,0,0,0.142857142857143,0.125,0.0740740740740741,0.0740740740740741,0.0754716981132075,0.037037037037037,0.0784313725490196,0.0784313725490196,0.0566037735849057,0.0576923076923077
"TCAF2",0,0.166666666666667,0.714285714285714,0.166666666666667,0.444444444444444,0.444444444444444,0.428571428571429,0.25,0.37037037037037,0.351851851851852,0.283018867924528,0.351851851851852,0.313725490196078,0.313725490196078,0.320754716981132,0.346153846153846
"SDHAF1",0.5,0.666666666666667,0.857142857142857,0.833333333333333,0.666666666666667,0.444444444444444,0.714285714285714,0.75,0.685185185185185,0.666666666666667,0.641509433962264,0.648148148148148,0.666666666666667,0.705882352941177,0.660377358490566,0.653846153846154
"WIPF3",0.333333333333333,0.166666666666667,0.571428571428571,0.666666666666667,0.333333333333333,0.777777777777778,0.428571428571429,0.5,0.481481481481481,0.5,0.452830188679245,0.444444444444444,0.490196078431373,0.411764705882353,0.471698113207547,0.461538461538462
"CAPN8",1,1,0.857142857142857,1,1,0.888888888888889,1,1,0.962962962962963,0.962962962962963,0.981132075471698,0.962962962962963,0.96078431372549,0.980392156862745,0.962264150943396,0.961538461538462
"TUBAL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBLL1",0,0,0,0,0,0,0,0.125,0.0185185185185185,0.0185185185185185,0.0188679245283019,0.0185185185185185,0.0196078431372549,0.0196078431372549,0.0188679245283019,0
"SMCHD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GATSL2",0,0.166666666666667,0.285714285714286,0,0,0,0,0.125,0.0925925925925926,0.0740740740740741,0.0566037735849057,0.0925925925925926,0.0980392156862745,0.0980392156862745,0.0943396226415094,0.0769230769230769
"ARHGAP42",0.5,0.166666666666667,0.571428571428571,0.5,0.111111111111111,0.666666666666667,0.428571428571429,0.125,0.351851851851852,0.388888888888889,0.339622641509434,0.351851851851852,0.411764705882353,0.313725490196078,0.358490566037736,0.403846153846154
"NCF1",0.833333333333333,1,0.714285714285714,0.333333333333333,0.888888888888889,0.444444444444444,0.571428571428571,0.75,0.685185185185185,0.666666666666667,0.69811320754717,0.740740740740741,0.666666666666667,0.745098039215686,0.716981132075472,0.692307692307692
"UNC119B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"METTL15",0.166666666666667,0.166666666666667,0,0,0,0,0,0,0.0185185185185185,0.0185185185185185,0.0377358490566038,0.037037037037037,0.0392156862745098,0.0392156862745098,0.0377358490566038,0.0384615384615385
"SOWAHD",0.666666666666667,1,0.714285714285714,0.833333333333333,1,0.888888888888889,0.857142857142857,0.375,0.814814814814815,0.777777777777778,0.811320754716981,0.796296296296296,0.764705882352941,0.784313725490196,0.792452830188679,0.865384615384615
"CD8B",1,1,0.857142857142857,0.833333333333333,1,0.888888888888889,1,0.875,0.925925925925926,0.925925925925926,0.943396226415094,0.944444444444444,0.92156862745098,0.941176470588235,0.924528301886792,0.942307692307692
"SLC9B1P1",0.333333333333333,0.333333333333333,0.571428571428571,0.5,0.444444444444444,0.444444444444444,0.142857142857143,1,0.5,0.5,0.471698113207547,0.481481481481481,0.490196078431373,0.490196078431373,0.528301886792453,0.403846153846154
"CCDC85C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAC3D1",0.5,0.333333333333333,0.428571428571429,0.166666666666667,0.444444444444444,0.777777777777778,0.285714285714286,0.125,0.37037037037037,0.388888888888889,0.377358490566038,0.407407407407407,0.372549019607843,0.313725490196078,0.39622641509434,0.423076923076923
"PCP4L1",0.666666666666667,0.5,0.857142857142857,0.833333333333333,0.444444444444444,0.888888888888889,0.857142857142857,0.625,0.703703703703704,0.722222222222222,0.679245283018868,0.685185185185185,0.745098039215686,0.666666666666667,0.679245283018868,0.711538461538462
"CGB1",1,0.666666666666667,1,1,0.777777777777778,1,0.857142857142857,0.875,0.888888888888889,0.925925925925926,0.886792452830189,0.888888888888889,0.92156862745098,0.882352941176471,0.905660377358491,0.903846153846154
"RGPD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMIM23",0.5,0.666666666666667,0.142857142857143,0.333333333333333,0.666666666666667,0.444444444444444,0.285714285714286,0.5,0.444444444444444,0.425925925925926,0.490566037735849,0.462962962962963,0.411764705882353,0.450980392156863,0.471698113207547,0.442307692307692
"ZNF729",0.833333333333333,0.833333333333333,0.857142857142857,1,1,0.888888888888889,0.714285714285714,0.875,0.888888888888889,0.888888888888889,0.886792452830189,0.87037037037037,0.862745098039216,0.882352941176471,0.905660377358491,0.884615384615385
"ZNF716",0.666666666666667,0.5,1,0.833333333333333,1,0.777777777777778,0.714285714285714,0.75,0.814814814814815,0.833333333333333,0.773584905660377,0.796296296296296,0.764705882352941,0.803921568627451,0.811320754716981,0.807692307692308
"BTBD11",0.5,0.833333333333333,0.428571428571429,0.5,0.333333333333333,0.666666666666667,0.857142857142857,0.25,0.518518518518518,0.481481481481481,0.528301886792453,0.518518518518518,0.549019607843137,0.490196078431373,0.471698113207547,0.557692307692308
"FAM127A",0,0,0.428571428571429,0.5,0,0,0,0,0.111111111111111,0.111111111111111,0.0566037735849057,0.0555555555555556,0.117647058823529,0.117647058823529,0.113207547169811,0.115384615384615
"ZSWIM8",0,0,0.142857142857143,0.166666666666667,0,0,0.142857142857143,0,0.0555555555555556,0.0555555555555556,0.0377358490566038,0.037037037037037,0.0588235294117647,0.0588235294117647,0.0377358490566038,0.0576923076923077
"MYH7B",0,0.166666666666667,0,0,0.111111111111111,0.111111111111111,0.142857142857143,0.125,0.0925925925925926,0.0740740740740741,0.0943396226415094,0.0925925925925926,0.0784313725490196,0.0784313725490196,0.0754716981132075,0.0769230769230769
"ARHGAP32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBKBP1",1,1,1,1,0.888888888888889,1,1,1,0.981481481481482,0.981481481481482,0.981132075471698,0.981481481481482,1,0.980392156862745,0.981132075471698,0.980769230769231
