"","Breast","CNS","Colon","Leukemia","Melanoma","Non-Small Cell Lung","Ovarian","Renal"
"RSPH10B",1,1,0.428571428571429,0.833333333333333,1,0.777777777777778,0.714285714285714,0.75
"HMGB1P1",0.5,0.5,0.428571428571429,0.333333333333333,0.111111111111111,0.333333333333333,0.142857142857143,0.375
"MYO9A",0,0,0,0.166666666666667,0,0,0,0
"SMIM1",0.666666666666667,1,0.714285714285714,0.5,0.666666666666667,0.888888888888889,0.857142857142857,0.875
"EPM2A",0,0,0.714285714285714,0.5,0.222222222222222,0.111111111111111,0.285714285714286,0.875
"FAM25G",0.833333333333333,1,1,0.833333333333333,0.888888888888889,0.888888888888889,1,0.875
"ZNF732",0.5,0.833333333333333,0.428571428571429,0.166666666666667,0.222222222222222,0.222222222222222,0.571428571428571,0.25
"GPR89A",0.666666666666667,0.5,0.857142857142857,1,0.666666666666667,0.666666666666667,1,0.875
"PPP1R3G",0.5,0.833333333333333,0.714285714285714,0.333333333333333,0.555555555555556,0.555555555555556,0.857142857142857,0.75
"WASH3P",0,0,0,0,0,0,0,0
"RASA4",0.666666666666667,0.833333333333333,0.857142857142857,0.833333333333333,1,0.888888888888889,0.714285714285714,1
"UMAD1",0.333333333333333,0.666666666666667,0.428571428571429,0.666666666666667,0.444444444444444,0.333333333333333,0.571428571428571,0.625
"BTBD19",1,1,1,0.833333333333333,0.777777777777778,1,1,1
"FAM195B",0,0,0,0,0,0,0,0
"HGFAC",0.833333333333333,0.833333333333333,0.571428571428571,1,1,0.888888888888889,0.857142857142857,0.5
"KRT86",1,1,0.714285714285714,1,1,1,1,1
"KRT38",0.666666666666667,1,0.285714285714286,1,1,0.333333333333333,0.428571428571429,0.75
"KRT75",0.333333333333333,0.166666666666667,0,0.166666666666667,0.111111111111111,0,0,0.125
"KRT14",0.5,0.666666666666667,0.857142857142857,0.5,0.888888888888889,0.444444444444444,0.571428571428571,0.625
"KRT6A",1,1,1,0.833333333333333,1,0.777777777777778,0.714285714285714,1
"ALB",1,1,0.857142857142857,0.833333333333333,0.444444444444444,0.888888888888889,1,0.75
"KRT8",0,0,0,0,0,0,0,0
"KRT16",0.666666666666667,1,0.857142857142857,0.666666666666667,1,0.333333333333333,0.571428571428571,0.75
"KRT10",0.5,0.333333333333333,0.714285714285714,0.5,0.444444444444444,0.555555555555556,0.571428571428571,0.625
"KRT5",0,0,0,0.166666666666667,0.111111111111111,0.111111111111111,0,0
"FLG",0.833333333333333,0.5,0.285714285714286,0.833333333333333,0.444444444444444,0.555555555555556,0.428571428571429,0.25
"KRT9",0,0.166666666666667,0.142857142857143,0.166666666666667,0.111111111111111,0,0.285714285714286,0
"KRT20",0,0,0,0.166666666666667,0.111111111111111,0,0,0.25
"KRT2",0.333333333333333,0,0.142857142857143,0.166666666666667,0.111111111111111,0,0.142857142857143,0.125
"KRT85",0.666666666666667,0.833333333333333,0.714285714285714,0.833333333333333,1,1,0.857142857142857,1
"KRT17",0,0,0.142857142857143,0,0,0.111111111111111,0.142857142857143,0
"KRT33B",1,1,1,0.833333333333333,0.777777777777778,0.444444444444444,0.857142857142857,0.25
"KRT81",0.166666666666667,0.166666666666667,0.142857142857143,0,0.222222222222222,0,0.142857142857143,0.125
"KRT31",0.666666666666667,0,0.428571428571429,0.333333333333333,0.444444444444444,0.555555555555556,0.571428571428571,0.25
"CLEC3B",0,0,0,0,0,0,0,0
"KRT24",0.166666666666667,0,0.142857142857143,0,0,0.111111111111111,0,0
"KRT7",0.166666666666667,1,0.571428571428571,0.833333333333333,0.666666666666667,0.222222222222222,0.142857142857143,0.625
"KRT80",0,0.166666666666667,0.285714285714286,0,0.333333333333333,0,0.142857142857143,0
"KRT34",0.166666666666667,0.5,0,0.166666666666667,0.222222222222222,0.111111111111111,0,0.125
"KRT222",0.333333333333333,0.5,0.571428571428571,0.666666666666667,0.222222222222222,0.444444444444444,0.714285714285714,0.5
"KRT12",1,0.833333333333333,1,1,1,1,1,0.625
"KRTAP4-6",1,1,0.714285714285714,0.833333333333333,0.888888888888889,1,1,1
"KRTAP2-2",0.833333333333333,1,0.714285714285714,1,0.888888888888889,1,0.714285714285714,0.75
"KRT23",0,0.166666666666667,0.428571428571429,0,0.111111111111111,0.555555555555556,0.142857142857143,0
"CA",0,0,0,0,0,0,0,0
"C11orf98",0,0,0,0.166666666666667,0,0,0,0
"SMIM22",0.666666666666667,0.833333333333333,0.428571428571429,1,0.888888888888889,1,0.571428571428571,0.875
"DSE2",0,0,0,0,0,0,0,0
"AGPS",0,0,0,0,0,0,0,0
"KIF2A",0,0,0,0,0,0,0,0
"SGK1",0.666666666666667,1,0.428571428571429,0.666666666666667,0.444444444444444,0.666666666666667,1,0.875
"DDX39A",0,0,0,0,0,0,0,0
"PDLIM1",0,0.166666666666667,0,0.166666666666667,0.111111111111111,0,0,0
"ACOT7",0.666666666666667,0.666666666666667,1,1,0.222222222222222,0.666666666666667,1,1
"MYO1C",0,0,0,0,0,0,0,0
"MYO1F",0.5,0.333333333333333,0,0.666666666666667,0.222222222222222,0.111111111111111,0.285714285714286,0.5
"SP23",0,0,0,0,0,0,0,0
"HAX1",0,0,0,0,0,0,0,0
"AIP",0,0,0,0,0,0,0,0
"GTPBP1",0,0,0,0,0,0,0,0
