"","LOXIMVI","M14","MALME3M","MDAMB435","SKMEL2","SKMEL28","SKMEL5","UACC257","UACC62","X786O","A498","A549","ACHN","BT549","CAKI1","CCRFCEM","COLO205","DU145","EKVX","HCC2998","HCT116","HCT15","HL60","HOP62","HOP92","HS578T","HT29","IGROV1","K562","KM12","MCF7","MDAMB231","MDAMB468","MOLT4","NCIADRES","NCIH226","NCIH23","NCIH322M","NCIH460","NCIH522","OVCAR3","OVCAR4","OVCAR5","OVCAR8","PC3","RPMI8226","RXF393","SF268","SF295","SF539","SKOV3","SN12C","SNB19","SNB75","SR","SW620","T47D","TK10","U031","U251"
"SIAH2",1,1,1,1,1,1,1,0.5,1,0,1,1,0,1,0,1,1,1,0.5,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1
"BRPF1",1,1,1,1,1,0.5,1,1,1,1,0,0,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0
"BTG3",1,1,1,0.5,1,1,0.5,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0.5,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0.5
"TMEM63A",1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"MAP3K1",1,1,0.5,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0.5,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
"LAIR1",1,1,1,0.5,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0.5,1,0,0,0,1,1,1,0,1,0,1,1,1,0.5,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0
"PPFIBP1",1,1,0.5,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0.5,1,1,0,0,1,1,1,1,0,0,1,0.5,1,1,1,1,1,1,1,0,1,1,1,1
"SATB1",1,1,1,1,1,0.5,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0.5,1,1,1,0,0,1,1,1,1,1,1,1,1,1
"STIM1",1,0.5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.5,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
"ING2",1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.5,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"ACAD8",1,1,1,1,1,1,1,1,0.5,1,0,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
"MME",1,1,0.5,1,1,1,0.5,1,1,1,0.5,0,1,0.5,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"MLLT10",1,1,1,1,1,1,1,1,0.5,0,0,1,1,1,0,1,1,1,1,1,0.5,1,0.5,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1
"IGSF10",1,1,1,1,1,1,1,1,0.5,1,0,1,0,1,1,1,1,1,0.5,1,1,1,1,1,0,1,1,1,0.5,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1
"ZBTB1",1,1,1,1,1,1,0.5,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0.5,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0.5,1,1,1,0,1,1,1
"CAMK2A",1,1,0.5,1,1,1,1,1,1,0,1,1,0,0.5,0,1,0,1,1,0,1,0,1,1,1,0.5,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0.5,1,1,1,0,0,0,1
"ACADS",0.5,1,1,1,1,1,0.5,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0.5,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0.5,0,0,0,0.5,1,1,0,1,0
"PDK3",0.5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0.5,1,1,1,1,0,0,1,1
